log_data_id,vin,seq,timestamp_IST,trigger_timestamp_IST,trigger_source_event
2220,MA1VP271BR6J81417,-18.2,38:18.0,38:36.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.1,38:18.0,38:36.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18,38:18.0,38:36.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.9,56:08.0,56:26.0,TRIG_AEB_WARNING_MSG
2221,MA1VP271BR6J81417,-17.8,56:08.0,56:26.0,TRIG_AEB_WARNING_MSG
2221,MA1VP271BR6J81417,-17.7,56:08.0,56:26.0,TRIG_AEB_WARNING_MSG
2221,MA1VP271BR6J81417,-17.6,56:08.0,56:26.0,TRIG_AEB_WARNING_MSG
2221,MA1VP271BR6J81417,-17.5,56:08.0,56:26.0,TRIG_AEB_WARNING_MSG
2221,MA1VP271BR6J81417,-17.4,56:08.0,56:26.0,TRIG_AEB_WARNING_MSG
2221,MA1VP271BR6J81417,-17.4,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2221,MA1VP271BR6J81417,-17.3,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2221,MA1VP271BR6J81417,-17.2,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2221,MA1VP271BR6J81417,-17.1,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2221,MA1VP271BR6J81417,-17,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2221,MA1VP271BR6J81417,-17.9,05:50.0,06:08.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.8,05:51.0,06:08.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.7,05:51.0,06:08.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.6,05:51.0,06:08.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.5,05:51.0,06:08.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.4,05:51.0,06:08.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.3,05:51.0,06:08.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.2,05:51.0,06:08.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.1,05:51.0,06:08.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17,05:51.0,06:08.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.9,38:18.0,38:36.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.8,38:18.0,38:36.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.7,38:18.0,38:36.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.6,38:18.0,38:36.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.5,38:18.0,38:36.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.4,38:18.0,38:36.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.3,38:18.0,38:36.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.2,38:18.0,38:36.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.2,38:19.0,38:36.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17.1,38:19.0,38:36.0,TRIG_AES_WARNING
2221,MA1VP271BR6J81417,-17,38:19.0,38:36.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.9,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2222,MA1VP271BR6J81417,-16.8,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2222,MA1VP271BR6J81417,-16.7,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2222,MA1VP271BR6J81417,-16.6,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2222,MA1VP271BR6J81417,-16.5,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2222,MA1VP271BR6J81417,-16.4,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2222,MA1VP271BR6J81417,-16.3,56:09.0,56:26.0,TRIG_AEB_WARNING_MSG
2222,MA1VP271BR6J81417,-16.2,56:10.0,56:26.0,TRIG_AEB_WARNING_MSG
2222,MA1VP271BR6J81417,-16.1,56:10.0,56:26.0,TRIG_AEB_WARNING_MSG
2222,MA1VP271BR6J81417,-16,56:10.0,56:26.0,TRIG_AEB_WARNING_MSG
2222,MA1VP271BR6J81417,-16.9,05:51.0,06:08.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.8,05:52.0,06:08.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.7,05:52.0,06:08.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.6,05:52.0,06:08.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.5,05:52.0,06:08.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.4,05:52.0,06:08.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.3,05:52.0,06:08.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.2,05:52.0,06:08.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.1,05:52.0,06:08.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16,05:52.0,06:08.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.9,38:19.0,38:36.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.8,38:19.0,38:36.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.7,38:19.0,38:36.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.6,38:19.0,38:36.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.5,38:19.0,38:36.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.4,38:19.0,38:36.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.3,38:19.0,38:36.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.2,38:19.0,38:36.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.2,38:20.0,38:36.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16.1,38:20.0,38:36.0,TRIG_AES_WARNING
2222,MA1VP271BR6J81417,-16,38:20.0,38:36.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.9,56:10.0,56:26.0,TRIG_AEB_WARNING_MSG
2223,MA1VP271BR6J81417,-15.8,56:10.0,56:26.0,TRIG_AEB_WARNING_MSG
2223,MA1VP271BR6J81417,-15.7,56:10.0,56:26.0,TRIG_AEB_WARNING_MSG
2223,MA1VP271BR6J81417,-15.6,56:10.0,56:26.0,TRIG_AEB_WARNING_MSG
2223,MA1VP271BR6J81417,-15.5,56:10.0,56:26.0,TRIG_AEB_WARNING_MSG
2223,MA1VP271BR6J81417,-15.4,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2223,MA1VP271BR6J81417,-15.3,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2223,MA1VP271BR6J81417,-15.2,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2223,MA1VP271BR6J81417,-15.1,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2223,MA1VP271BR6J81417,-15,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2223,MA1VP271BR6J81417,-15.9,05:52.0,06:08.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.8,05:52.0,06:08.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.8,05:53.0,06:08.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.7,05:53.0,06:08.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.6,05:53.0,06:08.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.5,05:53.0,06:08.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.4,05:53.0,06:08.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.3,05:53.0,06:08.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.2,05:53.0,06:08.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.1,05:53.0,06:08.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15,05:53.0,06:08.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.9,38:20.0,38:36.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.8,38:20.0,38:36.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.7,38:20.0,38:36.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.6,38:20.0,38:36.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.5,38:20.0,38:36.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.4,38:20.0,38:36.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.3,38:20.0,38:36.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.2,38:20.0,38:36.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15.1,38:21.0,38:36.0,TRIG_AES_WARNING
2223,MA1VP271BR6J81417,-15,38:21.0,38:36.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.9,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2224,MA1VP271BR6J81417,-14.8,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2224,MA1VP271BR6J81417,-14.7,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2224,MA1VP271BR6J81417,-14.6,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2224,MA1VP271BR6J81417,-14.5,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2224,MA1VP271BR6J81417,-14.4,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2224,MA1VP271BR6J81417,-14.3,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
