trigger_source_event,Signal,Max of Physical_Value,Average of Physical_Value,Min of Physical_Value
TRIG_AEB_WARNING_MSG,DOA_LEFT_WARN_TRGT,0,0,0
TRIG_AEB_WARNING_MSG,DOA_RIGHT_WARN_IND,0,0,0
TRIG_AEB_WARNING_MSG,DOA_RIGHT_WARN_TRGT,1,0.026315789,0
TRIG_AEB_WARNING_MSG,DOA_SYS_STS,3,2.123505976,2
TRIG_AEB_WARNING_MSG,DOA_TTC_RISK_FLAG,1,0.055555556,0
TRIG_AEB_WARNING_MSG,DOA_USM_STS,1,1,1
TRIG_AEB_WARNING_MSG,DOA_ZONE_RISK_FLAG,1,0.022026432,0
TRIG_AEB_WARNING_MSG,DOMS_DR_POSE,1,0.275862069,0
TRIG_AEB_WARNING_MSG,DOMS_DRIVER_ALERT_STS,1,0.363636364,0
TRIG_AEB_WARNING_MSG,DOMS_EYEGAZE_LOCATION,8,3.347826087,0
TRIG_AEB_WARNING_MSG,DOMS_EYEGAZE_ORIGIN,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_EYEGAZE_X,-60,-60,-60
TRIG_AEB_WARNING_MSG,DOMS_EYEGAZE_Y,-60,-60,-60
TRIG_AEB_WARNING_MSG,DOMS_EYEGAZE_Z,-60,-60,-60
TRIG_AEB_WARNING_MSG,DOMS_FAULT_ID,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_HANDGESTURE,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_HEAD_PITCH,-100,-100,-100
TRIG_AEB_WARNING_MSG,DOMS_HEAD_ROLL,-100,-100,-100
TRIG_AEB_WARNING_MSG,DOMS_HEAD_X,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_HEAD_Y,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_HEAD_YAW,-100,-100,-100
TRIG_AEB_WARNING_MSG,DOMS_HEAD_Z,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_HEADGESTURE,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_HOW_STS,1,0.346153846,0
TRIG_AEB_WARNING_MSG,DOMS_LEFTEYE_X,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_LEFTEYE_Y,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_LEFTEYE_Z,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_OBJECTS,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_PET_STS,1,0.055555556,0
TRIG_AEB_WARNING_MSG,DOMS_RIGHTEYE_X,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_RIGHTEYE_Y,0,0,0
TRIG_AEB_WARNING_MSG,DOMS_RIGHTEYE_Z,0,0,0
TRIG_AEB_WARNING_MSG,DOOR_LOCK_WRN,0,0,0
TRIG_AEB_WARNING_MSG,DRIVE_ENABLE_REQUEST,0,0,0
TRIG_AEB_WARNING_MSG,DRIVE_ENABLE_STATUS,1,1,1
TRIG_AEB_WARNING_MSG,DRIVER_BRAKING_OVERRIDE,1,0.342696629,0
TRIG_AEB_WARNING_MSG,DROWSINESS_WARN,0,0,0
TRIG_AEB_WARNING_MSG,DST_ACT,0,0,0
TRIG_AEB_WARNING_MSG,DST_DEF,0,0,0
TRIG_AEB_WARNING_MSG,DSTSR_SIGN_HEIGHT,20.46,7.4025,0.19
TRIG_AEB_WARNING_MSG,DSTSR_SIGN_LAT_DISTANCE,48.04,13.25727273,-28.99
TRIG_AEB_WARNING_MSG,DSTSR_SIGN_LONG_DISTANCE,324.92,230.3695385,2.49
TRIG_AEB_WARNING_MSG,DSTSR_SIGN_PANEL_HEIGHT,1.29,0.297692308,0
